model,subset,horizon,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,mape_mean,n_folds
rf,full,15min,20.19936839111077,1.6819517539756783,14.587205218797891,0.6266095235245994,0.18873037636407622,12.671827128066791,5
rf,full,30min,20.172957210355285,1.5343398115700142,14.644288089932417,0.667470490568322,0.19016139941898316,12.76102655020937,5
rf,full,45min,20.51762430995484,1.5335125427264504,14.921286114484449,0.6785664736945181,0.1648757491974374,13.037670706438552,5
rf,comparable,15min,21.118284609441297,1.3985014590973495,15.411634399454679,0.5787193201346404,0.11405619180916063,13.371403619309524,5
rf,comparable,30min,21.006538470961424,1.3541924605546858,15.368683055474824,0.6317369430692191,0.12281767208181829,13.369350318401487,5
rf,comparable,45min,21.238249503021514,1.4251850218114777,15.592112522676274,0.7154264984248694,0.10773072169675221,13.5959460682806,5
gb,full,15min,20.76049822158428,1.4884864170653864,15.027763549499166,0.5495883741284765,0.13972905191893498,13.00134879426962,5
gb,full,30min,20.827652797084557,1.349334875594597,15.122006662717038,0.48870692735215476,0.13372459626462013,13.180232398236962,5
gb,full,45min,21.49783414635981,1.3717290283873664,15.697800458465556,0.612004974747755,0.07610364141884315,13.751605432986604,5
gb,comparable,15min,22.09300966796519,0.5790676679318272,16.151221707123458,0.22642011478533772,0.01746213508295267,13.959111031993126,5
gb,comparable,30min,22.287585436245337,0.6692887354148557,16.31547301320558,0.22295009192226203,0.00206252805240672,14.241285299338795,5
gb,comparable,45min,22.74196453452458,0.7142101955587877,16.763560809192377,0.3031428421056569,-0.03465581115878578,14.741937024777041,5
lstm,full,15min,22.753771391044435,1.9784009124895539,16.760208511352538,1.2791092242661377,-0.029357242584228515,14.627701950073241,5
lstm,full,30min,22.33174120270288,1.9772687078419324,16.51801128387451,1.4686311473557703,0.004582345485687256,14.423344230651855,5
lstm,full,45min,23.73246422185367,2.61615251583892,17.450889778137206,1.8278701089995102,-0.11452462673187255,15.292496681213379,5
lstm,comparable,15min,23.34860397281737,2.372597119424374,17.578759574890135,1.7436691968059193,-0.08353596925735474,15.321138763427735,5
lstm,comparable,30min,22.379274041655627,1.7387670877666743,16.696511650085448,1.1704879352360644,0.0005406856536865235,14.588655090332031,5
lstm,comparable,45min,22.330694726146454,1.994148407122038,16.45731601715088,1.275547785437202,0.012533318996429444,14.265461730957032,5
cnnlstm,full,15min,22.4795136743305,1.9561457498811208,16.594946670532227,1.4376571200926456,-0.005679595470428467,14.54267578125,5
cnnlstm,full,30min,22.556537803905435,2.1466991564541646,16.730904960632323,1.3384714709218863,-0.010027384757995606,14.763667488098145,5
cnnlstm,full,45min,23.275881735845935,2.755686608680875,17.283435821533203,1.9878478588663244,-0.07373313903808594,15.221155738830566,5
cnnlstm,comparable,15min,22.581631235184677,2.180815077500715,16.752543640136718,1.3305016986688982,-0.010139250755310058,14.776602172851563,5
cnnlstm,comparable,30min,22.313120039980127,1.8072404019253459,16.605024147033692,1.22149180176922,0.008609414100646973,14.59397850036621,5
cnnlstm,comparable,45min,22.596332375851045,2.1000884921097254,16.743754386901855,1.320608361215868,-0.009770560264587402,14.77954978942871,5
transformer,full,15min,23.652886288754832,2.4545063527962276,17.509884071350097,1.297375377847112,-0.11660643815994262,15.328490447998046,5
transformer,full,30min,23.006321513987917,1.6106247932799052,17.245541381835938,1.4744862003916255,-0.07477079629898072,15.143515014648438,5
transformer,full,45min,24.17806935448673,2.274267026653067,18.065238380432127,1.8850961492245524,-0.18392709493637086,15.915044021606445,5
transformer,comparable,15min,23.956741283110937,1.082009377230556,17.616962051391603,0.39954826655639897,-0.153195059299469,15.50189437866211,5
transformer,comparable,30min,23.775530285665287,1.4882256660644781,17.774507141113283,0.8880196158622694,-0.13520162105560302,15.525465393066407,5
transformer,comparable,45min,25.08936652682292,1.7172466001272224,18.674850463867188,1.253068491221392,-0.27471749782562255,16.500954627990723,5
