model,window,horizon,subset,fold,epochs_trained,rmse,mae,r2,mape
tcn,1h,15min,full,0,32,22.757780316661076,17.86156463623047,-0.3830493688583374,15.302983283996582
tcn,1h,30min,full,0,30,24.068079710219923,18.0364990234375,-0.5259801149368286,15.254898071289062
tcn,1h,45min,full,0,28,26.34486439294787,20.619760513305664,-0.7880603075027466,17.55608367919922
tcn,1h,15min,comparable,0,143,10.445410374915417,7.4797492027282715,0.7080248594284058,6.677582740783691
tcn,1h,30min,comparable,0,115,18.93727519591198,14.296510696411133,0.053111374378204346,12.592029571533203
tcn,1h,45min,comparable,0,39,24.73153460080748,18.795120239257812,-0.5798784494400024,16.17665672302246
tcn,1h,15min,full,1,66,11.472575118882354,7.686948776245117,0.7728819847106934,6.6819047927856445
tcn,1h,30min,full,1,50,20.494558961380076,14.500457763671875,0.2741968035697937,12.733110427856445
tcn,1h,45min,full,1,39,23.940644936602453,17.263399124145508,0.006276845932006836,15.26037311553955
tcn,1h,15min,comparable,1,113,8.931698923861234,6.685785293579102,0.8623698353767395,5.875696182250977
tcn,1h,30min,comparable,1,63,17.616952776984004,13.020489692687988,0.4638739228248596,11.437804222106934
tcn,1h,45min,comparable,1,71,20.84741581332684,15.17220687866211,0.246901273727417,13.16798210144043
tcn,1h,15min,full,2,117,8.261693354718652,5.9459028244018555,0.865652859210968,5.4483723640441895
tcn,1h,30min,full,2,49,18.624738653000694,14.418658256530762,0.310657262802124,13.775875091552734
tcn,1h,45min,full,2,17,27.302461014373893,20.17890167236328,-0.4829007387161255,18.17969512939453
tcn,1h,15min,comparable,2,111,7.766307532175517,5.548596382141113,0.8847471475601196,5.116994380950928
tcn,1h,30min,comparable,2,65,16.013410670093442,12.321170806884766,0.5061550140380859,11.579069137573242
tcn,1h,45min,comparable,2,71,20.75830500215516,16.32901954650879,0.16239970922470093,15.523984909057617
tcn,1h,15min,full,3,88,8.274167814792238,5.990477561950684,0.8608514070510864,5.350872993469238
tcn,1h,30min,full,3,33,17.880209850470855,13.27347469329834,0.3446144461631775,12.152899742126465
tcn,1h,45min,full,3,16,24.319459208448823,19.293628692626953,-0.21571874618530273,17.30876350402832
tcn,1h,15min,comparable,3,80,8.067601209158738,5.737064838409424,0.8675215244293213,5.033743381500244
tcn,1h,30min,comparable,3,112,15.878621326625778,11.50501823425293,0.4823935627937317,10.27413558959961
tcn,1h,45min,comparable,3,64,20.427623730607944,15.614946365356445,0.14106696844100952,14.324958801269531
tcn,1h,15min,full,4,82,8.489507594482577,5.708502769470215,0.8871533870697021,4.823355674743652
tcn,1h,30min,full,4,46,17.547409796781174,11.87761116027832,0.5178425908088684,9.882996559143066
tcn,1h,45min,full,4,41,21.27049146994603,14.905496597290039,0.2912791967391968,12.59426498413086
tcn,1h,15min,comparable,4,111,7.878939657372159,5.360908508300781,0.9030588269233704,4.587366580963135
tcn,1h,30min,comparable,4,77,16.372011334193278,10.9099702835083,0.582298755645752,9.174243927001953
tcn,1h,45min,comparable,4,45,20.70118726191168,14.065557479858398,0.33234554529190063,11.83909797668457
