model,window,horizon,subset,fold,epochs_trained,rmse,mae,r2,mape
tcn,1h,15min,full,0,38,10.695821456001047,7.629818916320801,0.6945035457611084,6.826220512390137
tcn,1h,30min,full,0,16,16.936357635599737,13.14436149597168,0.24437546730041504,11.88681697845459
tcn,1h,45min,full,0,16,17.794455292594833,13.265600204467773,0.18424522876739502,11.652029037475586
tcn,1h,15min,comparable,0,33,9.083945950722326,6.55697774887085,0.779177188873291,5.854557991027832
tcn,1h,30min,comparable,0,16,16.527049693821073,12.549029350280762,0.27880191802978516,11.396724700927734
tcn,1h,45min,comparable,0,16,18.204454417656446,13.397958755493164,0.14399385452270508,11.82673454284668
tcn,1h,15min,full,1,31,9.95325109380979,6.85411262512207,0.8290536999702454,5.886220932006836
tcn,1h,30min,full,1,47,18.902740505884655,12.274392127990723,0.3825649619102478,10.476139068603516
tcn,1h,45min,full,1,17,19.299298462446195,13.256644248962402,0.354231595993042,11.146299362182617
tcn,1h,15min,comparable,1,39,9.21832336473061,6.570940017700195,0.8533948063850403,5.542736053466797
tcn,1h,30min,comparable,1,34,16.71630293861495,11.807629585266113,0.5172905325889587,9.880495071411133
tcn,1h,45min,comparable,1,16,19.743368459929304,13.608695030212402,0.32455503940582275,11.369951248168945
tcn,1h,15min,full,2,49,8.904552846795127,6.562779426574707,0.8439317345619202,6.0748138427734375
tcn,1h,30min,full,2,20,15.980730373988944,12.098917961120605,0.4924859404563904,11.197550773620605
tcn,1h,45min,full,2,16,18.935633803468594,14.228887557983398,0.2867066264152527,13.349749565124512
tcn,1h,15min,comparable,2,26,8.739417952441737,6.440276145935059,0.8540555834770203,5.981132984161377
tcn,1h,30min,comparable,2,20,15.129462978718513,10.9734525680542,0.559171199798584,10.086668968200684
tcn,1h,45min,comparable,2,19,18.14191189718317,13.244260787963867,0.3602370023727417,12.195125579833984
tcn,1h,15min,full,3,34,8.86686096934575,6.4099345207214355,0.8402025699615479,5.658544063568115
tcn,1h,30min,full,3,21,16.07556333607832,11.570566177368164,0.47023409605026245,10.480657577514648
tcn,1h,45min,full,3,17,19.224181460650833,14.699527740478516,0.24033689498901367,13.52546215057373
tcn,1h,15min,comparable,3,33,8.545411816311228,6.098582744598389,0.8513644933700562,5.4079484939575195
tcn,1h,30min,comparable,3,23,15.635206139367265,11.274598121643066,0.4981415271759033,10.122365951538086
tcn,1h,45min,comparable,3,20,18.53538798919937,13.678716659545898,0.2928248643875122,12.424531936645508
tcn,1h,15min,full,4,25,9.022164919733356,6.117258548736572,0.8725484609603882,5.216904640197754
tcn,1h,30min,full,4,20,17.07290812645963,11.870601654052734,0.5435662269592285,10.250507354736328
tcn,1h,45min,full,4,22,20.09880455599482,13.70076847076416,0.3672085404396057,11.752532005310059
tcn,1h,15min,comparable,4,43,8.74574045317026,5.9611639976501465,0.8805555105209351,5.125948429107666
tcn,1h,30min,comparable,4,23,16.963668596329445,11.485987663269043,0.5515631437301636,9.830201148986816
tcn,1h,45min,comparable,4,26,20.455216034965492,14.076776504516602,0.3481173515319824,12.119396209716797
