model,window,combo,horizon,rmse,n_train,n_test
tcn,1h,glucose,15min,7.200067297303086,30659,6087
tcn,1h,glucose,30min,14.893986229537882,30602,6036
tcn,1h,glucose,45min,19.185843430372447,30549,5985
tcn,1h,physio_only,15min,25.09907127577134,25320,4712
tcn,1h,physio_only,30min,25.01167452020531,25271,4667
tcn,1h,physio_only,45min,24.946367030638825,25224,4622
tcn,1h,EDA,15min,25.41226361601508,25377,4735
tcn,1h,EDA,30min,25.302500918572754,25328,4690
tcn,1h,EDA,45min,25.32413168319523,25281,4645
tcn,1h,heart_rate,15min,25.23762798305216,25377,4735
tcn,1h,heart_rate,30min,25.43253032304911,25328,4690
tcn,1h,heart_rate,45min,25.401193713875806,25281,4645
tcn,1h,BVP,15min,25.295743392694796,25377,4735
tcn,1h,BVP,30min,25.377153878337968,25328,4690
tcn,1h,BVP,45min,25.290605886252507,25281,4645
tcn,1h,IBI,15min,25.12665912976569,25320,4712
tcn,1h,IBI,30min,25.029773530503252,25271,4667
tcn,1h,IBI,45min,25.01243953211394,25224,4622
tcn,1h,food_only,15min,25.897539577194273,27103,5432
tcn,1h,food_only,30min,25.844976873463125,27058,5387
tcn,1h,food_only,45min,26.046503587258957,27017,5342
tcn,1h,carbs_only,15min,26.54161748078089,27103,5432
tcn,1h,carbs_only,30min,26.655482935182633,27058,5387
tcn,1h,carbs_only,45min,26.489655400962064,27017,5342
tcn,1h,activity,15min,25.002199610265542,23596,4357
tcn,1h,activity,30min,24.906394584743442,23550,4315
tcn,1h,activity,45min,24.898379892857736,23505,4273
tcn,1h,comparable,15min,8.822044020144048,21607,4046
tcn,1h,comparable,30min,17.182579196151877,21567,4007
tcn,1h,comparable,45min,21.039496926214827,21528,3968
tcn,1h,all,15min,9.121529951427291,21569,4024
tcn,1h,all,30min,16.525623193206002,21529,3985
tcn,1h,all,45min,20.3757024538611,21490,3946
tcn,1h,physio_food,15min,24.868860148348677,23438,4430
tcn,1h,physio_food,30min,24.770844284410252,23395,4388
tcn,1h,physio_food,45min,24.9398507370264,23354,4346
tcn,1h,food_movement,15min,24.693387104632258,21675,4074
tcn,1h,food_movement,30min,24.861413973970915,21635,4035
tcn,1h,food_movement,45min,24.698724208733182,21596,3996
tcn,1h,physio_movement,15min,24.72775100816641,23445,4306
tcn,1h,physio_movement,30min,24.621835882933137,23399,4264
tcn,1h,physio_movement,45min,24.787006493684725,23354,4222
tcn,1h,lag,15min,7.305526146710683,30232,6075
tcn,1h,lag,30min,15.287218546986248,30175,6024
tcn,1h,lag,45min,19.320846383646572,30120,5973
