user,model,rmse,mae
User1,RF,20.289132222609314,13.476731420926715
User1,LSTM,19.4150333404541,12.906744003295898
User3,RF,20.215418013279045,13.969913440578605
User3,LSTM,19.446508407592773,13.657405853271484
User4,RF,17.90375734032794,13.115847774816332
User4,LSTM,17.08789825439453,12.66407585144043
User5,RF,14.891167791698644,10.824495533118
User5,LSTM,13.989102363586426,10.403739929199219
User6,RF,14.656211901588781,11.002791915461982
User6,LSTM,14.315173149108887,10.600126266479492
User7,RF,14.781677670595103,10.15343081512062
User7,LSTM,14.315683364868164,9.852657318115234
User8,RF,17.391266145119726,11.811162625672896
User8,LSTM,16.833642959594727,11.358967781066895
User9,RF,19.114928244101947,13.480858225430886
User9,LSTM,18.626096725463867,13.142549514770508
User10,RF,14.635825544446691,10.172777467837973
User10,LSTM,13.813690185546875,9.701178550720215
User12,RF,17.071747828320838,12.45385074704933
User12,LSTM,15.974063873291016,11.760461807250977
User13,RF,15.299864133417037,10.948835420195651
User13,LSTM,14.66946029663086,10.472307205200195
User14,RF,12.142008670782651,9.102047016493328
User14,LSTM,12.183151245117188,9.231582641601562
User15,RF,18.29890252438845,14.135841294082573
User15,LSTM,16.695005416870117,13.025993347167969
