test_patient,cohort,mode,horizon,model,rmse,mae,zone_a,epochs
559,2018,pooled,15min,RF,16.055770232787136,9.494171961392578,95.79382994732882,
559,2018,pooled,15min,LSTM,16.343809127807617,9.726885795593262,95.56057185854026,37.0
559,2018,pooled,15min,Autoencoder,16.453540802001953,9.843375205993652,95.69601203912717,45.0
559,2018,pooled,15min,TCN,21.31745719909668,12.228889465332031,92.18209179834462,19.0
559,2018,pooled,15min,Transformer,16.34617805480957,9.766037940979004,95.5831452219714,40.0
559,2018,pooled,30min,RF,26.729844920290216,17.67955879506268,82.95711060948081,
559,2018,pooled,30min,LSTM,26.643356323242188,17.50858497619629,83.39352896914974,37.0
559,2018,pooled,30min,Autoencoder,26.6713809967041,17.64504051208496,83.732129420617,45.0
559,2018,pooled,30min,TCN,32.646060943603516,21.73113250732422,74.25884123401053,19.0
559,2018,pooled,30min,Transformer,26.62004280090332,17.38101577758789,84.02558314522197,40.0
559,2018,pooled,45min,RF,35.454649698436334,24.82274066958714,71.7757712565839,
559,2018,pooled,45min,LSTM,35.0088005065918,24.230281829833984,73.76975169300226,37.0
559,2018,pooled,45min,Autoencoder,35.05283737182617,24.500417709350586,73.03987960872837,45.0
559,2018,pooled,45min,TCN,41.68782424926758,29.40768814086914,63.29571106094808,19.0
559,2018,pooled,45min,Transformer,35.05556869506836,24.015092849731445,73.86756960120391,40.0
563,2018,pooled,15min,RF,10.560901674244446,6.90965559006747,97.9964563172959,
563,2018,pooled,15min,LSTM,10.39932918548584,6.724574565887451,98.08504838489846,38.0
563,2018,pooled,15min,Autoencoder,10.40300464630127,6.824325084686279,98.0577892871746,62.0
563,2018,pooled,15min,TCN,11.265145301818848,7.675273895263672,97.27409022761347,31.0
563,2018,pooled,15min,Transformer,10.520477294921875,6.859474182128906,97.90786424969333,75.0
563,2018,pooled,30min,RF,17.883026212565287,12.602256414459738,90.35027940575166,
563,2018,pooled,30min,LSTM,17.372596740722656,12.13692569732666,91.06583072100314,38.0
563,2018,pooled,30min,Autoencoder,17.361156463623047,12.191935539245605,91.17486711189859,62.0
563,2018,pooled,30min,TCN,19.035823822021484,13.93482780456543,87.31770478397165,31.0
563,2018,pooled,30min,Transformer,17.583847045898438,12.267671585083008,91.14760801417474,75.0
563,2018,pooled,45min,RF,24.181721899111906,17.594476122446874,80.35982008995502,
563,2018,pooled,45min,LSTM,23.46432876586914,16.89391326904297,82.29521602834946,38.0
563,2018,pooled,45min,Autoencoder,23.491493225097656,17.053356170654297,81.79773749488892,62.0
563,2018,pooled,45min,TCN,25.471832275390625,19.18967628479004,76.54354640861388,31.0
563,2018,pooled,45min,Transformer,23.841400146484375,17.066495895385742,82.47240016355458,75.0
570,2018,pooled,15min,RF,11.072449379873252,7.245080344004796,98.32202524257679,
570,2018,pooled,15min,LSTM,11.372543334960938,7.5585455894470215,98.26366090318815,31.0
570,2018,pooled,15min,Autoencoder,11.636112213134766,7.786590099334717,98.28554753045889,40.0
570,2018,pooled,15min,TCN,16.106285095214844,7.900382995605469,97.7237907638433,17.0
570,2018,pooled,15min,Transformer,11.149100303649902,7.266098976135254,98.35120741227111,87.0
570,2018,pooled,30min,RF,18.923835959732973,13.159274316342936,93.08382578244692,
570,2018,pooled,30min,LSTM,18.889629364013672,13.230231285095215,93.57262712482672,31.0
570,2018,pooled,30min,Autoencoder,19.323331832885742,13.645391464233398,93.47048953089663,40.0
570,2018,pooled,30min,TCN,23.144975662231445,14.295701026916504,91.15050704019843,17.0
570,2018,pooled,30min,Transformer,18.412639617919922,12.563885688781738,93.689355803604,87.0
570,2018,pooled,45min,RF,25.2007036515278,18.26657746598163,86.78777267089808,
570,2018,pooled,45min,LSTM,24.947715759277344,18.172502517700195,87.81644415262275,31.0
570,2018,pooled,45min,Autoencoder,25.637340545654297,18.897315979003906,87.27657401327788,40.0
570,2018,pooled,45min,TCN,39.116058349609375,22.58258628845215,83.66528051360619,17.0
570,2018,pooled,45min,Transformer,24.375694274902344,17.388813018798828,87.99883271321222,87.0
575,2018,pooled,15min,RF,15.014997640275807,8.695717240073296,95.01246882793018,
575,2018,pooled,15min,LSTM,14.667972564697266,8.752906799316406,94.97090606816293,30.0
575,2018,pooled,15min,Autoencoder,14.663796424865723,8.6521577835083,95.34497090606817,43.0
575,2018,pooled,15min,TCN,15.598350524902344,9.789191246032715,93.58548074258798,23.0
575,2018,pooled,15min,Transformer,15.399374961853027,9.171142578125,95.05403158769742,44.0
575,2018,pooled,30min,RF,24.290921677179888,16.15031244584963,80.83264062067055,
575,2018,pooled,30min,LSTM,23.404220581054688,15.659651756286621,82.50900526461623,30.0
575,2018,pooled,30min,Autoencoder,23.21845245361328,15.45824909210205,83.22942643391521,43.0
575,2018,pooled,30min,TCN,25.557809829711914,18.111000061035156,75.98365198115822,23.0
575,2018,pooled,30min,Transformer,24.10808563232422,15.77420425415039,82.67525630368523,44.0
575,2018,pooled,45min,RF,32.236534048124994,22.941421437611044,67.23469105015239,
575,2018,pooled,45min,LSTM,31.08473014831543,21.98619842529297,69.66611249653644,30.0
575,2018,pooled,45min,Autoencoder,30.91275405883789,21.988548278808594,69.66611249653644,43.0
575,2018,pooled,45min,TCN,34.776092529296875,25.791385650634766,61.75533388750346,23.0
575,2018,pooled,45min,Transformer,31.733177185058594,21.961761474609375,70.38653366583542,44.0
588,2018,pooled,15min,RF,13.33347438104104,8.829706442009833,96.14561027837259,
588,2018,pooled,15min,LSTM,13.10162353515625,8.684952735900879,96.50898708714554,35.0
588,2018,pooled,15min,Autoencoder,13.273514747619629,8.80396556854248,96.3337875543443,51.0
588,2018,pooled,15min,TCN,14.190942764282227,9.683598518371582,95.8990331581338,20.0
588,2018,pooled,15min,Transformer,13.803848266601562,9.194361686706543,95.7757445980144,31.0
588,2018,pooled,30min,RF,22.203072234680434,15.506519859375745,87.17150087599767,
588,2018,pooled,30min,LSTM,21.520729064941406,15.032095909118652,88.08643176951529,35.0
588,2018,pooled,30min,Autoencoder,21.56524085998535,15.072654724121094,88.02154305366297,51.0
588,2018,pooled,30min,TCN,23.241172790527344,16.71903419494629,86.60696904808253,20.0
588,2018,pooled,30min,Transformer,22.174087524414062,15.309579849243164,87.02225682953734,31.0
588,2018,pooled,45min,RF,28.537073365174585,20.504335817110853,78.94361170592434,
588,2018,pooled,45min,LSTM,27.842134475708008,20.0156307220459,80.05320874699889,35.0
588,2018,pooled,45min,Autoencoder,27.79119300842285,20.041030883789062,79.94289793004997,51.0
588,2018,pooled,45min,TCN,30.41895294189453,22.516754150390625,77.68477061838946,20.0
588,2018,pooled,45min,Transformer,28.472253799438477,20.264097213745117,79.40432158847577,31.0
591,2018,pooled,15min,RF,15.912929986405285,9.73728184951621,93.86177964230515,
591,2018,pooled,15min,LSTM,15.548896789550781,9.539466857910156,94.01633914771473,30.0
591,2018,pooled,15min,Autoencoder,15.575769424438477,9.605263710021973,93.9942592183705,36.0
591,2018,pooled,15min,TCN,17.48543357849121,11.16714859008789,92.75778317509383,16.0
591,2018,pooled,15min,Transformer,16.281051635742188,10.063899993896484,93.22146169132259,57.0
591,2018,pooled,30min,RF,25.595191627348477,17.390828779482046,81.33509972768087,
591,2018,pooled,30min,LSTM,24.7373046875,16.91299057006836,81.59269890336351,30.0
591,2018,pooled,30min,Autoencoder,24.684494018554688,16.915000915527344,81.74725840877309,36.0
591,2018,pooled,30min,TCN,27.663494110107422,19.840566635131836,77.97159049091043,16.0
591,2018,pooled,30min,Transformer,25.75705337524414,17.348609924316406,81.36453963347317,57.0
591,2018,pooled,45min,RF,32.852503000942015,23.58657580269171,69.9418561860602,
591,2018,pooled,45min,LSTM,32.06281661987305,22.996795654296875,71.3476116876426,30.0
591,2018,pooled,45min,Autoencoder,31.964488983154297,23.064638137817383,70.90601310075807,36.0
591,2018,pooled,45min,TCN,35.78350830078125,27.131202697753906,64.17163465076912,16.0
591,2018,pooled,45min,Transformer,33.06248474121094,23.421239852905273,70.92073305365423,57.0
540,2020,pooled,15min,RF,12.390410141954746,8.519369474554667,95.25705033058966,
540,2020,pooled,15min,LSTM,11.984232902526855,8.350358963012695,96.01268384833355,35.0
540,2020,pooled,15min,Autoencoder,11.961753845214844,8.334739685058594,95.79678855754959,56.0
540,2020,pooled,15min,TCN,15.91192626953125,10.238985061645508,91.76224531102416,20.0
540,2020,pooled,15min,Transformer,12.538972854614258,8.611212730407715,94.9534475779247,82.0
540,2020,pooled,30min,RF,23.329028804793438,16.89705063251412,78.13385508028607,
540,2020,pooled,30min,LSTM,22.312583923339844,16.133455276489258,79.9419781406018,35.0
540,2020,pooled,30min,Autoencoder,22.22087860107422,16.09589958190918,80.19160707057077,56.0
540,2020,pooled,30min,TCN,26.540903091430664,19.531152725219727,70.13223586560518,20.0
540,2020,pooled,30min,Transformer,22.9727840423584,16.301578521728516,79.84752395088383,82.0
540,2020,pooled,45min,RF,32.3511012510773,24.15573860481358,64.12764809067602,
540,2020,pooled,45min,LSTM,31.26978302001953,23.038249969482422,67.1164485224666,35.0
540,2020,pooled,45min,Autoencoder,31.128602981567383,23.143566131591797,66.14491971393873,56.0
540,2020,pooled,45min,TCN,35.66371154785156,27.29478645324707,57.772230468222915,20.0
540,2020,pooled,45min,Transformer,31.838165283203125,23.150680541992188,66.69140466873566,82.0
544,2020,pooled,15min,RF,11.545216397981772,7.855353665348636,97.83016742998724,
544,2020,pooled,15min,LSTM,11.437500953674316,7.810367107391357,97.99534499587057,30.0
544,2020,pooled,15min,Autoencoder,11.643540382385254,7.906398296356201,97.84518357234026,48.0
544,2020,pooled,15min,TCN,68.62657928466797,10.246044158935547,97.00427960057061,14.0
544,2020,pooled,15min,Transformer,11.74090576171875,8.00110149383545,97.9127562129289,69.0
544,2020,pooled,30min,RF,19.803619745486053,14.19625076594778,90.05931376229447,
544,2020,pooled,30min,LSTM,19.474897384643555,13.757818222045898,90.95277423229972,30.0
544,2020,pooled,30min,Autoencoder,19.6776065826416,13.918689727783203,90.70500788347474,48.0
544,2020,pooled,30min,TCN,61.05058670043945,16.552419662475586,86.17013289285983,14.0
544,2020,pooled,30min,Transformer,19.94451904296875,14.043289184570312,90.3821608228846,69.0
544,2020,pooled,45min,RF,27.61359954963754,20.087993738432758,79.60807868458593,
544,2020,pooled,45min,LSTM,26.925975799560547,19.205371856689453,81.89804039342293,30.0
544,2020,pooled,45min,Autoencoder,27.09161949157715,19.478490829467773,81.11720099106539,48.0
544,2020,pooled,45min,TCN,75.63155364990234,23.08067512512207,75.24588933103085,14.0
544,2020,pooled,45min,Transformer,27.563968658447266,19.61501121520996,81.18477363165402,69.0
552,2020,pooled,15min,RF,11.995092854920571,7.70918892416972,97.11134453781513,
552,2020,pooled,15min,LSTM,11.90053939819336,7.674877643585205,97.03256302521008,37.0
552,2020,pooled,15min,Autoencoder,11.962742805480957,7.672336578369141,97.12009803921569,50.0
552,2020,pooled,15min,TCN,12.843024253845215,8.747344970703125,95.32563025210084,19.0
552,2020,pooled,15min,Transformer,12.475700378417969,8.047185897827148,96.875,33.0
552,2020,pooled,30min,RF,20.938976769885453,14.732081886744497,84.65511204481793,
552,2020,pooled,30min,LSTM,20.61224365234375,14.334091186523438,85.79306722689076,37.0
552,2020,pooled,30min,Autoencoder,20.375408172607422,14.209753036499023,86.07317927170868,50.0
552,2020,pooled,30min,TCN,22.284679412841797,16.519702911376953,79.79691876750701,19.0
552,2020,pooled,30min,Transformer,21.1086483001709,14.466153144836426,85.33788515406162,33.0
552,2020,pooled,45min,RF,28.342359589211192,20.800640370077858,73.01295518207283,
552,2020,pooled,45min,LSTM,27.74921417236328,20.030498504638672,74.2296918767507,37.0
552,2020,pooled,45min,Autoencoder,27.542133331298828,20.081626892089844,74.32598039215686,50.0
552,2020,pooled,45min,TCN,29.972436904907227,23.010944366455078,66.4828431372549,19.0
552,2020,pooled,45min,Transformer,28.314210891723633,20.108867645263672,74.66736694677871,33.0
567,2020,pooled,15min,RF,15.301453021949703,8.993697406424793,96.60542829061768,
567,2020,pooled,15min,LSTM,15.178526878356934,8.920125007629395,96.81711650412036,31.0
567,2020,pooled,15min,Autoencoder,15.142354011535645,8.810041427612305,96.9229606108717,66.0
567,2020,pooled,15min,TCN,16.69687843322754,10.614609718322754,92.31118167384895,14.0
567,2020,pooled,15min,Transformer,15.8735933303833,9.576146125793457,96.27277538368489,49.0
567,2020,pooled,30min,RF,25.910293031347155,17.492059527673316,81.98382097225372,
567,2020,pooled,30min,LSTM,25.33104705810547,16.765077590942383,84.84161185453996,31.0
567,2020,pooled,30min,Autoencoder,25.240575790405273,16.703187942504883,84.04778105390488,66.0
567,2020,pooled,30min,TCN,27.46916389465332,19.598600387573242,77.14523323504952,14.0
567,2020,pooled,30min,Transformer,26.28434944152832,17.492774963378906,83.36735465336055,49.0
567,2020,pooled,45min,RF,34.54582298871874,24.829884604082583,67.73266802751947,
567,2020,pooled,45min,LSTM,33.81617736816406,23.828258514404297,69.92515309594012,31.0
567,2020,pooled,45min,Autoencoder,33.69003677368164,23.835514068603516,69.85711045588569,66.0
567,2020,pooled,45min,TCN,35.470645904541016,26.35616111755371,64.96560066530581,14.0
567,2020,pooled,45min,Transformer,34.76220703125,24.46485137939453,68.82135026839042,49.0
584,2020,pooled,15min,RF,18.325039874987546,10.73311044710031,95.42412977357215,
584,2020,pooled,15min,LSTM,18.195905685424805,10.857654571533203,95.51199729638391,32.0
584,2020,pooled,15min,Autoencoder,18.42292022705078,10.970884323120117,95.32274417032781,45.0
