model,window,combo,horizon,rmse,n_train,n_test
tcn,1h,glucose,15min,7.802194374696575,30659,6087
tcn,1h,glucose,30min,14.943587463337378,30602,6036
tcn,1h,glucose,45min,19.3201971918314,30549,5985
tcn,1h,physio_only,15min,25.75083077581248,25320,4712
tcn,1h,physio_only,30min,25.45359379364177,25271,4667
tcn,1h,physio_only,45min,25.405409157364993,25224,4622
tcn,1h,EDA,15min,25.381896336189968,25377,4735
tcn,1h,EDA,30min,25.57647964507931,25328,4690
tcn,1h,EDA,45min,25.212535295665056,25281,4645
tcn,1h,heart_rate,15min,25.578121420662548,25377,4735
tcn,1h,heart_rate,30min,25.898054531482185,25328,4690
tcn,1h,heart_rate,45min,25.890522451894075,25281,4645
tcn,1h,BVP,15min,25.44417669978118,25377,4735
tcn,1h,BVP,30min,25.5484267017285,25328,4690
tcn,1h,BVP,45min,25.454551736409787,25281,4645
tcn,1h,IBI,15min,26.001382644276102,25320,4712
tcn,1h,IBI,30min,25.860544488283086,25271,4667
tcn,1h,IBI,45min,26.1377214186132,25224,4622
tcn,1h,food_only,15min,25.926381276486506,27103,5432
tcn,1h,food_only,30min,25.901895743844698,27058,5387
tcn,1h,food_only,45min,25.92327005174658,27017,5342
tcn,1h,carbs_only,15min,26.8667104312108,27103,5432
tcn,1h,carbs_only,30min,26.73297889582325,27058,5387
tcn,1h,carbs_only,45min,26.668940002179383,27017,5342
tcn,1h,activity,15min,26.192298467745008,23596,4357
tcn,1h,activity,30min,25.82035386721346,23550,4315
tcn,1h,activity,45min,25.886744390831574,23505,4273
tcn,1h,comparable,15min,7.80823272130003,21607,4046
tcn,1h,comparable,30min,16.47973127720079,21567,4007
tcn,1h,comparable,45min,21.124202555214953,21528,3968
tcn,1h,all,15min,8.787012347694475,21569,4024
tcn,1h,all,30min,17.1075189846613,21529,3985
tcn,1h,all,45min,21.53055052043237,21490,3946
tcn,1h,physio_food,15min,25.465963948459102,23438,4430
tcn,1h,physio_food,30min,25.197990410013354,23395,4388
tcn,1h,physio_food,45min,25.338702921078188,23354,4346
tcn,1h,food_movement,15min,24.813646266029203,21675,4074
tcn,1h,food_movement,30min,26.131879420935505,21635,4035
tcn,1h,food_movement,45min,25.85994145905255,21596,3996
tcn,1h,physio_movement,15min,25.380965710747812,23445,4306
tcn,1h,physio_movement,30min,25.057689785429393,23399,4264
tcn,1h,physio_movement,45min,25.17193076887056,23354,4222
tcn,1h,lag,15min,7.3960065221432805,30232,6075
tcn,1h,lag,30min,15.042545254198485,30175,6024
tcn,1h,lag,45min,19.304789463763502,30120,5973
